Data Set,Tapajos National Forest - km 83 - March 2000  Tree Survey,,,,,,,,,,,,
Site,Flona Tapajos National Forest (TNF) Km 83 tower site - Santarem - Para - Brazil,,,,,,,,,,,,
File name ,CD04_TNF_KM83_Tree_Survey_2000.csv,,,,,,,,,,,,
File date ,2010-1-18,,,,,,,,,,,,
LBA Team ID,  CD-04,,,,,,,,,,,,
,,,,,,,,,,,,,
Tree survey in 18 ha plot east of the eddy covariance tower in March 2000,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column,Heading,Units/format,Description,,,,,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,C11,483,76.5,36.73004018,3941.605409,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,C11,484,56.2,27.50073647,1607.519802,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,D11,485,39.3,19.81722748,574.7151062,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,D11,486,56.1,27.45527192,1599.253885,,,,,,
Parapara,Jacaranda copaia (Aubl.) D.Don,Bignoniaceae,E11,487,51.4,25.31843806,1241.904539,,,,,,
Acariquarana,Rinoria guianensis Aubl.,Violaceae,F11,488,37.5,18.99886557,502.8018085,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,G11,489,44.1,21.99952589,799.222191,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,G11,490,46.7,23.1816042,942.1494163,,,,,,
Castanha do Para ,Bertholletia excelsa Humb. & Bonpl.,Lecythidaceae,G11,491,82.1,39.27605499,4845.872559,,,,,,
Abiurana vermelha,Pouteria guianensis Aubl.,Sapotaceae,G11,492,69.8,33.68391531,3016.750978,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,H11,493,45.4,22.59056504,868.729511,,,,,,
Tachi branco,Tachigalia alba Ducke,Caesalpinioideae,H11,494,48.2,23.86357245,1031.866219,,,,,,
Embaubarana,Pouruma guianensis Aubl.,Cecropiaceae,H11,495,48.4,23.95450155,1044.241622,,,,,,
Matamata giboia,Eschweilera sp.,Lecythidaceae,H11,496,48,23.77264335,1019.588875,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,I11,497,46.9,23.2725333,953.7988736,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,I11,498,47.6,23.59078515,995.3268043,,,,,,
Papaterra,Miconia argyrophylla,Melastomataceae,I11,499,51.8,25.50029626,1270.003837,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,J11,500,105.7,50.00568885,10170.50558,,,,,,
Tatajuba,Bagassa guianensis Aubl.,Moraceae,J11,501,115,54.23389203,13036.42111,,,,,,
Babatimao,Maytenus sp.,Celastraceae ,J11,502,41.5,20.81744758,671.5174199,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,J11,503,86.5,41.2764952,5646.172118,,,,,,
Joao mole,Neea floribunda Poepp & Endl,Nyctaginaceae,J11,504,51.6,25.40936716,1255.901848,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,K11,505,44.2,22.04499044,804.432434,,,,,,
Fava mapoxiqui ,Ptecelobuim jucumba,Mimosoideae,K11,506,43.5,21.72673859,768.4319156,,,,,,
Tachi branco,Tachigalia alba Ducke,Caesalpinioideae,L11,507,47.8,23.68171425,1007.4092,,,,,,
Louro branco,Ocotea sp.,Lauraceae,L11,508,37.3,18.90793647,495.2027292,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,L11,509,42.8,21.40848674,733.5204852,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,L11,510,54.8,26.86423277,1494.360059,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,L11,511,37.1,18.81700737,487.6804788,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,L11,512,41.3,20.72651848,662.2999516,,,,,,
Abiu vermelho,Pouteria sp.,Sapotaceae,L12,513,39.8,20.04455023,595.8393063,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,L12,514,57.8,28.22816928,1743.671227,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,L12,515,46.8,23.22706875,947.9622285,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,L12,516,37.5,18.99886557,502.8018085,,,,,,
Abiu rosadinha,Michopholis venulosa Pierre,Sapotaceae,K12,517,60.7,29.54664123,2009.628547,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,K12,518,52.2,25.68215446,1298.523411,,,,,,
Embaubarana,Pouruma guianensis Aubl.,Cecropiaceae,K12,519,41.9,20.99930579,690.2077754,,,,,,
Tachi branco,Tachigalia alba Ducke,Caesalpinioideae,K12,520,70.5,34.00216716,3105.769402,,,,,,
Tamanquiera,Zanthoxylum rhoifolium Lam.,Rutaceae,K12,521,41.3,20.72651848,662.2999516,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,J12,522,77.1,37.00282748,4032.596891,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,J12,523,51.9,25.54576081,1277.094208,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,J12,524,54.6,26.77330367,1478.641141,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,I12,525,48.1,23.8181079,1025.715314,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,I12,526,105.5,49.91475975,10114.00041,,,,,,
Abiu,Micropholis sp.,Sapotaceae,I12,527,51,25.13657986,1214.222402,,,,,,
Jutai mirim,Hymenaea parvifolia Huber,Caesalpinioideae,H12,528,73.9,35.54796187,3563.102464,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,H12,529,78.4,37.59386663,4234.52394,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,H12,530,39.7,19.99908568,591.5738118,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,H12,531,85.5,40.8218497,5457.098289,,,,,,
Amapa amargosa,Brosimum rubescens Taub.,Moraceae,G12,532,48.9,24.1818243,1075.611691,,,,,,
Quaruba verdadeira,Vochysia maxima Ducke ,Vochysiaceae,G12,533,95.6,45.41376928,7571.10314,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,G12,534,55.3,27.09155552,1534.143442,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,G12,535,42.2,21.13569944,704.4505675,,,,,,
Andirobarana,Guarea subsessiliflora C. DC.,Meliaceae,G12,536,35.1,17.90771637,416.5978589,,,,,,
Anani,Symphonia globulifera Lf.,Guttiferae,G12,537,59.9,29.18292483,1933.741063,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,G12,538,45.6,22.68149415,879.7675379,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,G12,539,80.8,38.68501584,4624.802634,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,G12,540,38.1,19.27165288,526.0639161,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,F12,541,50.1,24.72739891,1153.446698,,,,,,
Caju acu,Anacardium spruceanum Engl.,Anacardiaceae,F12,542,37.2,18.86247192,491.4320247,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,F12,543,40.9,20.54466028,644.1184861,,,,,,
Embaubarana,Pouruma guianensis Aubl.,Cecropiaceae,E12,544,50.4,24.86379256,1173.474557,,,,,,
Muiratinga folha grauda ,Omedia perebea,Moraceae,E12,545,75,36.04807192,3720.13431,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,E12,546,36.5,18.54422007,465.5708057,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,D12,547,40.9,20.54466028,644.1184861,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,D12,548,38.5,19.45351108,541.9632749,,,,,,
Embauba vermelha,Cecropia sciadophylla Mart.,Cecropiaceae,D12,549,45.1,22.45417139,852.3459845,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,D12,550,55.9,27.36434282,1582.807085,,,,,,
Abiu guajara,Pouteria sp.,Sapotaceae,D12,551,46.4,23.04521055,924.8534912,,,,,,
Tatapiririca,Tapirira guianensis Aubl.,Anacardiaceae,B12,552,44.7,22.27231319,830.8231298,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,B12,553,48.9,24.1818243,1075.611691,,,,,,
Louro preto,Ocotea baturitensis Vattimo,Lauraceae,B12,554,39.3,19.81722748,574.7151062,,,,,,
Embaubarana,Pouruma guianensis Aubl.,Cecropiaceae,B12,555,41.7,20.90837669,680.819898,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,A12,556,35.5,18.08957457,430.2215683,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,A12,557,89.5,42.64043171,6239.481634,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,A12,558,39.8,20.04455023,595.8393063,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,A12,559,86.6,41.32195975,5665.316054,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,A12,560,38.6,19.49897563,545.9874719,,,,,,
Abiu branco,Micropholis guianensis ,Sapotaceae,A12,561,45.5,22.6360296,874.2369244,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,A12,562,35.1,17.90771637,416.5978589,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,A12,563,35.8,18.22596822,440.6316517,,,,,,
Uruazeiro ,Cordia alliodora Cham.,Boraginaceae,A13,564,36.5,18.54422007,465.5708057,,,,,,
Aroeira,Astronium le-cointei Ducke,Anacardiaceae,A13,565,38.3,19.36258198,533.974207,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,A13,566,68,32.8655534,2795.6878,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B13,567,36.7,18.63514917,472.8649067,,,,,,
Muirarema,Conceveiba guianensis,Euphorbiaceae,C13,568,51.6,25.40936716,1255.901848,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,D13,569,35.4,18.04411002,426.7882667,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,E13,570,64,31.04697139,2343.639522,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,E13,571,77.4,37.13922113,4078.612825,,,,,,
Paraputaca ,Swartzia guianensis ,Papilionoideae,E13,572,42.2,21.13569944,704.4505675,,,,,,
Embauba vermelha,Cecropia sciadophylla Mart.,Cecropiaceae,F13,573,43.9,21.90859679,788.8692115,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,G13,574,62.1,30.18314494,2147.15899,,,,,,
Capitiu,Dendrobangia sp.,Icacinaceae,G13,575,42.1,21.09023489,699.6814417,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,G13,576,56.3,27.54620102,1615.814128,,,,,,
Cupiuba,Goupia glabra Aubl.,Celastraceae,G13,577,72.1,34.72959996,3315.774945,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,G13,578,44.7,22.27231319,830.8231298,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,H13,579,36.7,18.63514917,472.8649067,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,H13,580,47.4,23.49985605,983.3412989,,,,,,
Louro branco,Ocotea sp.,Lauraceae,H13,581,39.6,19.95362113,587.3286932,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,H13,582,41.6,20.86291213,676.1580084,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,I13,583,51.5,25.36390261,1248.890133,,,,,,
Envira preta,Guatteria poeppigiana Mart.,Annonaceae,J13,584,43.8,21.86313224,783.7263777,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,J13,585,45.1,22.45417139,852.3459845,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,J13,586,48.5,23.9999661,1050.466217,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,J13,587,41,20.59012483,648.6322903,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,J13,588,44.8,22.31777774,836.1695059,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,J13,589,44.6,22.22684864,825.4995642,,,,,,
Louro preto,Ocotea baturitensis Vattimo,Lauraceae,K13,590,41.2,20.68105393,657.7229743,,,,,,
Louro vermelho,Ocotea rubra Mez,Lauraceae,K13,591,75,36.04807192,3720.13431,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,L13,592,85,40.59452695,5364.164506,,,,,,
Quinarana,Geissospermum sericeum (Benth.)Hook.,Apocynaceae,L13,593,40.3,20.27187298,617.4741227,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,L13,594,38.8,19.58990473,554.0954354,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,L13,595,101.3,48.00524864,8975.209886,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,L13,596,82,39.23059044,4828.622455,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,L13,597,73.4,35.32063912,3493.209215,,,,,,
Abiu,Micropholis sp.,Sapotaceae,L13,598,67.7,32.72915975,2759.927416,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,L14,599,45.5,22.6360296,874.2369244,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,L14,600,39.6,19.95362113,587.3286932,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,L14,601,99.5,47.18688674,8514.559521,,,,,,
Fava folha fina,Pseudopiptadenia psilostachya Benth.,Mimosoideae,L14,602,75,36.04807192,3720.13431,,,,,,
Aroeira,Astronium le-cointei Ducke,Anacardiaceae,L14,603,52.8,25.95494176,1342.097607,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,J14,604,45.1,22.45417139,852.3459845,,,,,,
Abiu vermelho,Pouteria sp.,Sapotaceae,J14,605,44.5,22.18138409,820.1987606,,,,,,
Abiu,Micropholis sp.,Sapotaceae,J14,606,85,40.59452695,5364.164506,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,J14,607,83,39.68523594,5002.974995,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,I14,608,89.8,42.77682536,6300.999371,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,I14,609,46,22.86335235,902.1229663,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,I14,610,35.7,18.18050367,437.1432121,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,H14,611,66.7,32.27451425,2642.929196,,,,,,
Caraipe,Licaria sp.,Chrysobalanaceae,H14,612,38.1,19.27165288,526.0639161,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,H14,613,110.5,52.18798726,11590.52148,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,H14,614,63.3,30.72871954,2269.917025,,,,,,
Muirapiranga,Eperua schomburgkiana Benth.,Caesalpinioideae,G14,615,43.6,21.77220314,773.5077784,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,G14,616,100.5,47.64153224,8768.478993,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,G14,617,40.7,20.45373118,635.1537099,,,,,,
Matamata branco,Eschweilera sp.,Lecythidaceae,F14,618,40.2,20.22640843,613.106018,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,F14,619,50.3,24.81832801,1166.773083,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,F14,620,56.9,27.81898832,1666.179404,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,F14,621,46.3,22.999746,919.1355243,,,,,,
Inga vermelho,Inga alba (Sw.)Willd.,Mimosoideae,F14,622,39,19.68083383,562.2831498,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,F14,623,47.2,23.40892695,971.4522942,,,,,,
Envira preta,Guatteria poeppigiana Mart.,Annonaceae,E14,624,61.9,30.09221584,2127.139525,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,E14,625,58.8,28.68281478,1832.547663,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,E14,626,50,24.68193436,1146.82169,,,,,,
Embaubarana,Pouruma guianensis Aubl.,Cecropiaceae,E14,627,71,34.22948991,3170.414104,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,E14,628,37.4,18.95340102,498.9926409,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,D14,629,54.6,26.77330367,1478.641141,,,,,,
Muirarema,Conceveiba guianensis,Euphorbiaceae,D14,630,57.1,27.90991743,1683.19731,,,,,,
Uxirana,Sacoglottis sp.,Humiriaceae,D14,631,42.1,21.09023489,699.6814417,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,D14,632,62.2,30.22860949,2157.21562,,,,,,
Pau de remo,Chimarrhis turbinata DC.,Rubiaceae,D14,633,100.8,47.77792589,8845.626985,,,,,,
Muirapiranga,Eperua schomburgkiana Benth.,Caesalpinioideae,D14,634,68.8,33.22926981,2892.555117,,,,,,
Pente de macaco,Apeiba echinata Gaertn.,Tiliaceae,D14,635,44.9,22.36324229,841.5387412,,,,,,
Jutai rana,Dialum sp.,Caesalpinioideae,D14,636,42.7,21.36302219,728.6210693,,,,,,
Abiurana vermelha,Pouteria guianensis Aubl.,Sapotaceae,D14,637,44,21.95406134,794.0344664,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,C14,638,50.3,24.81832801,1166.773083,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,C14,639,95.5,45.36830473,7547.875944,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,C14,640,64.6,31.31975869,2408.085634,,,,,,
Tatapiririca vermelha,Tapirira peckoltiana Engler,Anacardiaceae,C14,641,45,22.40870684,846.9308845,,,,,,
Carapanauba,Aspidosperma nitidum Benth.,Apocynaceae,C14,642,71.5,34.45681266,3235.949127,,,,,,
Acariquara,Minquartia guianensis Aubl.,Olacaceae,C14,643,63.5,30.81964864,2290.820539,,,,,,
Abiu branco,Micropholis guianensis ,Sapotaceae,B14,644,47.7,23.6362497,1001.355866,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,B14,645,38.7,19.54444018,550.0315091,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,B14,646,79,37.86665393,4329.949772,,,,,,
Fava arara tucupi,Parkia multijuga Benth.,Papilionoideae,B14,647,67.7,32.72915975,2759.927416,,,,,,
Matamata vermelho ,Eschweilera observa (Berg) Miers,Lecythidaceae,A14,648,46.2,22.95428145,913.441147,,,,,,
Gombeira,Swartzia laurifolia Benth.,Papilionoideae,A14,649,51.3,25.27297351,1234.945017,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,A14,650,43.4,21.68127404,763.3782791,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,A14,651,42.8,21.40848674,733.5204852,,,,,,
Abiu guajara,Pouteria sp.,Sapotaceae,A15,652,47.5,23.5453206,989.3219647,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,A15,653,46,22.86335235,902.1229663,,,,,,
Abiu rosadinha,Michopholis venulosa Pierre,Sapotaceae,A15,654,35,17.86225182,413.237393,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,A15,655,51,25.13657986,1214.222402,,,,,,
Louro preto,Ocotea baturitensis Vattimo,Lauraceae,A15,656,46.1,22.9088169,907.7703105,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,B15,657,77.5,37.18468568,4094.02886,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B15,658,98,46.50491848,8142.942765,,,,,,
Amapa doce,Brosimum parinarioides Ducke,Moraceae,B15,659,50.6,24.95472166,1186.954309,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,B15,660,59,28.77374388,1850.677491,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,B15,661,46.1,22.9088169,907.7703105,,,,,,
Melancieira,Alexa grandiflora Ducke,Papilionoideae,C15,662,100.7,47.73246134,8819.860939,,,,,,
Aroeira,Astronium le-cointei Ducke,Anacardiaceae,C15,663,72.1,34.72959996,3315.774945,,,,,,
Muiratinga folha grauda ,Omedia perebea,Moraceae,C15,664,44.7,22.27231319,830.8231298,,,,,,
Pau de remo,Chimarrhis turbinata DC.,Rubiaceae,C15,665,59.6,29.04653118,1905.783066,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,C15,666,59.4,28.95560208,1887.294803,,,,,,
Embaubarana,Pouruma guianensis Aubl.,Cecropiaceae,C15,667,38,19.22618833,522.1381902,,,,,,
Tatapiririca,Tapirira guianensis Aubl.,Anacardiaceae,D15,668,47.6,23.59078515,995.3268043,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,D15,669,56.6,27.68259467,1640.868048,,,,,,
Macaranduba,Manilkara huberi (Ducke) Chev.,Sapotaceae,D15,670,57.8,28.22816928,1743.671227,,,,,,
Copaiba,Copaifera multijuga Hayne,Caesalpinioideae,D15,671,68,32.8655534,2795.6878,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,E15,672,72.1,34.72959996,3315.774945,,,,,,
Abiu casca grossa,Pouteria biloculares (Winkler)Baehni,Sapotaceae,E15,673,55.8,27.31887827,1574.626104,,,,,,
Saboeira ,Abarema auriculata ( Benth ) Barneby & Grimes,Mimosoideae,E15,674,44,21.95406134,794.0344664,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,F15,675,77,36.95736293,4017.335474,,,,,,
Louro preto,Ocotea baturitensis Vattimo,Lauraceae,F15,676,62.8,30.50139679,2218.215029,,,,,,
Freijo branco,Cordia bicolor A.DC.,Boraginaceae,G15,677,52.5,25.81854811,1320.190773,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,H15,678,63.4,30.77418409,2280.352825,,,,,,
Abiu cutite,Pouteria macrophylla (Lam.) Eyma,Sapotaceae,H15,679,38.9,19.63536928,558.1792994,,,,,,
Itauba amarela,Mezilaurus itauba (Meissn.) Taub. Ex Mez,Lauraceae,H15,680,76,36.50271742,3866.832583,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,H15,681,79.5,38.09397668,4410.557271,,,,,,
Tachi vermelho,Sclerolobium chrysophyllum Poepp & Endl,Caesalpinioideae,H15,682,60.6,29.50117668,2000.036024,,,,,,
Breu vermelho,Protium tenuifolium Engl.,Burseraceae,H15,683,48.4,23.95450155,1044.241622,,,,,,
Ucuubarana,Iryanthera sagotiana (Benth.)Warb.,Myristicaceae,H15,684,62.6,30.41046769,2197.755924,,,,,,
Tatajuba,Bagassa guianensis Aubl.,Moraceae,I15,685,99.7,47.27781584,8564.946012,,,,,,
Abiu vermelho,Pouteria sp.,Sapotaceae,I15,686,39.8,20.04455023,595.8393063,,,,,,
Andiroba,Carapa guianensis Aubl.,Meliaceae,I15,687,61.8,30.04675129,2117.176593,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,I15,688,85,40.59452695,5364.164506,,,,,,
Ucuuba terra firme,Virola melionii (Ben.)Warb.,Myristicaceae,I15,689,54.9,26.90969732,1502.261086,,,,,,
Abiu seco,Pouteria paraensis,Sapotaceae,I15,690,42.9,21.45395129,738.4417865,,,,,,
Tauari,Couratari guianensis Aubl.,Lecythidaceae,J15,691,86.4,41.23103065,5627.071337,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,J15,692,44,21.95406134,794.0344664,,,,,,
Matamata preto,Eschweilera coriacea (A.DC.)Mori,Lecythidaceae,K15,693,49.4,24.40914706,1107.603146,,,,,,
Axixa,Sterculia speciosa Schum.,Sterculiaceae,K15,694,35.8,18.22596822,440.6316517,,,,,,
Pau jacare,Laetia procera (Poepp.& Endl.) Eichl.,Flacourtiaceae,K15,695,51.5,25.36390261,1248.890133,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,K15,696,44.6,22.22684864,825.4995642,,,,,,
Muirarema,Conceveiba guianensis,Euphorbiaceae,L15,697,36.4,18.49875552,461.9520061,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,L15,698,83.9,40.09441689,5163.435088,,,,,,
Amapa doce,Brosimum parinarioides Ducke,Moraceae,L15,699,70.2,33.86577351,3067.407405,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,L16,700,41.3,20.72651848,662.2999516,,,,,,
Jarana ,Lecythis lurida (Miers) Mori,Lecythidaceae,L16,701,38.9,19.63536928,558.1792994,,,,,,
Maparajuba,Manilkara paraensis (Hub.) Standl.,Sapotaceae,L16,702,63,30.59232589,2238.800621,,,,,,
Abiu branco,Micropholis guianensis ,Sapotaceae,K16,703,69.7,33.63845076,3004.174565,,,,,,
Copaiba,Copaifera multijuga Hayne,Caesalpinioideae,K16,704,113,53.32460102,12379.80722,,,,,,
Caju acu,Anacardium spruceanum Engl.,Anacardiaceae,K16,705,51.3,25.27297351,1234.945017,,,,,,
Matamata ci,Eschweilera bracteosa ( Poepp ex Berg ) Mori,Lecythidaceae,K16,706,37.9,19.18072378,518.2320124,,,,,,
Envira preta,Guatteria poeppigiana Mart.,Annonaceae,J16,707,59.8,29.13746028,1924.391585,,,,,,
Breu manga,Tetragastris altissima ( Aubl ) Swartz,Burseraceae,J16,708,88,41.95846346,5937.889753,,,,,,
Louro amarelo,Licaria brasiliensis (Nees) Kosterm.,Lauraceae,I16,709,60.3,29.36478303,1971.441565,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,I16,710,60.2,29.31931848,1961.970954,,,,,,
Breu branco,Protium pallidum Cuatrec.,Burseraceae,I16,711,43.8,21.86313224,783.7263777,,,,,,
Louro abacate,Ocotea sp.,Lauraceae,H16,712,47.1,23.3634624,965.5438578,,,,,,
Tachi preto folha grauda ,Tachigalia myrmecophila ( Ducke ) Ducke,Caesalpinioideae,H16,713,78.3,37.54840208,4218.757168,,,,,,
Uruazeiro ,Cordia alliodora Cham.,Boraginaceae,H16,714,35.8,18.22596822,440.6316517,,,,,,
